timestamp,login_id,action,student_id,details
2025-10-01 16:30:39.308477,STAFFECE001,add,1522081001,"New student: Name=AbishekR, Dept=ECE001, CGPA=8.0, Phone=6379495472"
2025-10-01 16:35:43.624547,STAFFECE001,deletion_request,1522081001,Deletion request raised: personal
2025-10-01 16:36:14.767984,admin,deletion_reject,1522081001,Deletion rejected: personal
2025-10-01 16:39:29.701446,STAFFECE001,deletion_request,1522081001,Deletion request raised: 
2025-10-01 16:40:23.392232,admin,deletion_reject,1522081001,Deletion rejected: nan
2025-10-01 16:42:37.705680,STAFFECE001,deletion_request,1522081001,Deletion request raised: 
2025-10-01 18:04:27.161707,admin,deletion_reject,1522081001,Deletion rejected: nan
2025-10-01 23:13:26.820714,admin,delete,1522081001,Student deleted by admin
2025-10-02 11:18:31.991466,STAFFECE001,add,1001,"New student: Name=Arjun Kumar, Dept=ECE001, CGPA=7.8, Phone=9876543210"
2025-10-02 11:19:01.216612,STAFFECE001,add,1002,"New student: Name=Priya Sharma, Dept=ECE001, CGPA=8.3, Phone=9876512345"
2025-10-02 11:19:12.474261,STAFFECE001,update,1002,No changes
2025-10-02 11:20:07.599498,STAFFECE001,add,ECE0011003,"New student: Name=Rohit Singh, Dept=ECE001, CGPA=8.3, Phone=9996512345"
2025-10-02 11:20:27.070598,STAFFECE001,deletion_request,1001,Deletion request raised: 
2025-10-02 11:20:31.248616,STAFFECE001,deletion_request,1002,Deletion request raised: 
2025-10-02 11:20:34.451753,STAFFECE001,deletion_request,ECE0011003,Deletion request raised: 
2025-10-02 11:21:01.528651,admin,delete,1001,Deletion accepted by admin: nan
2025-10-02 11:21:04.821894,admin,delete,ECE0011003,Deletion accepted by admin: nan
2025-10-02 11:21:07.365367,admin,delete,1002,Deletion accepted by admin: nan
2025-10-02 11:21:44.768529,STAFFECE001,add,ECE0011001,"New student: Name=Arjun, Dept=ECE001, CGPA=8.3, Phone=9876543210"
2025-10-02 11:22:05.534498,STAFFECE001,add,ECE0011002,"New student: Name=Kumar, Dept=ECE001, CGPA=4.0, Phone=9876552435"
2025-10-02 11:22:17.566667,STAFFECE001,add,ECE0011003,"New student: Name=Rohit, Dept=ECE001, CGPA=9.0, Phone=9876552435"
2025-10-02 11:22:46.715824,STAFFECE001,add,ECE0011004,"New student: Name=Singh, Dept=ECE001, CGPA=4.5, Phone=9876452435"
2025-10-02 11:23:05.421584,STAFFECE001,add,ECE0011005,"New student: Name=Kavya, Dept=ECE001, CGPA=6.0, Phone=9992932435"
2025-10-02 11:23:22.926642,STAFFECE001,add,ECE0011006,"New student: Name=Nair, Dept=ECE001, CGPA=9.0, Phone=9992932121"
2025-10-02 11:23:44.263295,STAFFECE001,add,ECE0011007,"New student: Name=Vignsh, Dept=ECE001, CGPA=8.0, Phone=9883293212"
2025-10-02 11:24:12.692779,STAFFECE001,add,ECE0011008,"New student: Name=John, Dept=ECE001, CGPA=8.8, Phone=9883966655"
2025-10-02 11:24:38.698426,STAFFECE001,add,ECE0011009,"New student: Name=Sneha, Dept=ECE001, CGPA=5.0, Phone=9883912123"
2025-10-02 11:25:00.316387,STAFFECE001,add,ECE0011010,"New student: Name=Akash, Dept=ECE001, CGPA=9.6, Phone=9883983835"
2025-10-02 11:27:51.368169,STAFFCSE002,add,CSE0021001,"New student: Name=Prasanna, Dept=CSE002, CGPA=8.1, Phone=9876523415"
2025-10-02 11:28:16.728452,STAFFCSE002,add,CSE0021002,"New student: Name=Kavitha, Dept=CSE002, CGPA=4.3, Phone=9876523937"
2025-10-02 11:28:39.924593,STAFFCSE002,add,CSE0021003,"New student: Name=Suresh, Dept=CSE002, CGPA=7.2, Phone=9283734632"
2025-10-02 11:28:54.915533,STAFFCSE002,add,CSE0021004,"New student: Name=Hema, Dept=CSE002, CGPA=8.9, Phone=9283734567"
